plan_date,ticker,bucket,trigger_type,driven_by,trigger_price,confidence,sim_entry_price,outcome,pnl_5d,pnl_30d,followed,followed_at,updated_at
2026-06-01,03032,hold_and_watch,manual,macro,,0.55,4.874,win,1.56,,true,2026-06-02T08:01:08.779973 (auto),2026-06-02T08:01:08.822596
2026-06-01,03033,hold_and_watch,manual,macro,,0.55,4.784,win,1.71,,true,2026-06-02T08:01:08.793056 (auto),2026-06-02T08:01:08.822600
2026-06-01,RKLB,hold_and_watch,price_below,catalyst,130,0.6,130,loss,-6.02,,true,2026-06-02T08:01:08.806479 (auto),2026-06-02T08:01:08.822606
2026-06-01,CRCL,add_only_on_trigger,price_below,catalyst,95,0.55,95,win,10.18,,false,2026-06-03T08:00:35.894114 (auto),2026-06-03T08:00:35.894129
2026-06-01,PLTU,trim_on_rebound,price_above,catalyst,50,0.5,50,loss,-0.1,,false,2026-06-03T08:00:35.909675 (auto),2026-06-03T08:00:35.909688
2026-06-01,ROBN,cut,open,technical,,0.5,28.25,win,7.61,,false,2026-06-03T08:00:35.924713 (auto),2026-06-03T08:00:35.924725
2026-06-01,MSFU,hold_and_watch,price_below,catalyst,26,0.55,26,win,33.42,,true,2026-06-02T08:01:08.819193 (auto),2026-06-02T08:01:08.822732
2026-06-02,00100,hold_and_watch,price_below,technical,650,0.5,650,win,2.69,,true,2026-06-03T08:00:35.938198 (auto),2026-06-03T08:00:36.017265
2026-06-02,07226,hold_and_watch,price_below,technical,3.5,0.45,3.5,win,21.94,,true,2026-06-03T08:00:35.951032 (auto),2026-06-03T08:00:36.017272
2026-06-02,02208,hold_and_watch,price_below,technical,13.0,0.55,13.0,win,3.54,,true,2026-06-03T08:00:35.963716 (auto),2026-06-03T08:00:36.017277
2026-06-02,03032,hold_and_watch,manual,macro,,0.55,4.95,win,4.65,,true,2026-06-03T08:00:35.976298 (auto),2026-06-03T08:00:36.017283
2026-06-02,03033,hold_and_watch,manual,macro,,0.55,4.866,win,4.71,,true,2026-06-03T08:00:35.988850 (auto),2026-06-03T08:00:36.017291
2026-06-02,RKLB,hold_and_watch,price_below,catalyst,115,0.5,115,win,7.23,,true,2026-06-03T08:00:36.001194 (auto),2026-06-03T08:00:36.017299
2026-06-02,CRCL,add_only_on_trigger,price_below,catalyst,95,0.5,95,win,6.16,,unknown,,2026-06-03T08:00:36.017380
2026-06-02,PLTU,trim_on_rebound,price_above,technical,50,0.5,50,win,10.48,,unknown,,2026-06-03T08:00:36.017415
2026-06-02,ROBN,cut,open,technical,,0.45,26.1,win,5.86,,unknown,,2026-06-03T08:00:36.017442
2026-06-02,MSFU,hold_and_watch,price_below,catalyst,26,0.55,26,win,22.27,,true,2026-06-03T08:00:36.014352 (auto),2026-06-03T08:00:36.017449
2026-06-03,00100,trim_on_rebound,price_below,peer,680,0.4,680,pending,,,unknown,,2026-06-03T08:05:20.234746
2026-06-03,07226,hold_and_watch,price_below,macro,3.5,0.55,3.5,pending,,,unknown,,2026-06-03T08:05:20.234765
2026-06-03,02208,hold_and_watch,price_below,catalyst,13.0,0.55,13.0,pending,,,unknown,,2026-06-03T08:05:20.234771
2026-06-03,03032,hold_and_watch,manual,macro,,0.55,5.18,pending,,,unknown,,2026-06-03T08:05:20.235290
2026-06-03,03033,hold_and_watch,manual,macro,,0.55,5.095,pending,,,unknown,,2026-06-03T08:05:20.235652
2026-06-03,RKLB,hold_and_watch,price_below,catalyst,115,0.5,115,pending,,,unknown,,2026-06-03T08:05:20.235659
2026-06-03,CRCL,add_only_on_trigger,price_below,catalyst,95,0.5,95,pending,,,unknown,,2026-06-03T08:05:20.235662
2026-06-03,PLTU,trim_on_rebound,price_above,technical,48,0.5,48,pending,,,unknown,,2026-06-03T08:05:20.235665
2026-06-03,ROBN,hold_and_watch,price_below,technical,20,0.45,20,pending,,,unknown,,2026-06-03T08:05:20.235667
2026-06-03,MSFU,hold_and_watch,price_below,catalyst,26,0.55,26,pending,,,unknown,,2026-06-03T08:05:20.235670
